Patient Name,Patient ID,Medical Condition,Medications,Date of Birth,Social Security Number
Jill Townsend,03beb65e-a1ff-4bc3-9a62-53a589cf9ce3,why,unit,1909-02-15,494-59-7242
Claire Boyd,b9ff2758-fd70-4405-9153-f2fa45527cba,summer,concern,1978-09-08,788-38-1776
Ryan West,b32a0ee1-7b47-46a3-be94-8384223809c2,heart,financial,1975-12-06,286-50-4998
Sue Burgess,4dda6a4c-4916-467a-8a92-8a345d0d6935,pretty,we,2009-12-27,299-79-7352
Paul Hodges,e623a838-6bcb-4239-8f5a-351cd7bfabd8,floor,politics,1969-04-04,136-09-7650
Matthew Hall,53c4c468-b835-4b7e-b5d6-13e4713ee200,amount,long,1912-04-08,641-85-2674
Jacob Small,9e750bc9-e648-4ea9-b811-1c8fb28685d1,measure,service,1947-05-05,481-43-8397
Matthew Green,e7fd0ab7-1e6b-400e-83d8-67010a6b892c,catch,get,1983-12-19,696-91-6335
Ronald Miller,3c2dfaf1-9d29-48b8-8d93-9da4d156212c,ball,large,2001-10-13,060-74-5022
Tyrone Mason,b8706121-c612-48f6-abf7-db5dbbeea765,relate,matter,1972-03-08,612-05-6461
Lindsey Cooper,4078b69f-d574-43aa-9595-12e957f27969,experience,address,1991-12-15,479-87-9725
Calvin Downs,711c12a4-582a-4ec7-b282-7f6dfdd3671d,oil,soon,2010-05-20,471-69-6550
Elizabeth Rice,e269b9f4-72f7-49de-ae73-a0b819179973,research,manage,1954-06-06,163-68-5573
Henry Williamson,952d05fe-a7b8-4150-859c-c53f944775f5,administration,enter,1926-05-19,354-74-9663
Charles Whitaker,82020253-5dd3-4db8-8d11-b15c56e94037,trip,return,1982-07-15,085-31-7078
Julie Trevino,746aa3a4-1b5c-4ffc-a6b0-8f2a4847e3cb,daughter,about,1970-08-02,551-80-6362
Jennifer Huynh,46e80fa0-8745-4c83-8b47-036d1788042f,occur,growth,1994-10-18,362-16-5134
Parker Thomas,c8259d14-dc60-4216-9b88-78bd49c01641,create,member,1934-08-28,117-34-0445
Justin Santana,fde163be-a419-448b-afbf-553d1c1fff82,what,race,1914-05-25,073-24-7478
Deborah Moore,013df33d-b38f-4900-95d8-62aaf61f320a,control,notice,1961-02-09,737-17-6600
Logan Cross,ed35516b-74b2-40a5-a0c3-645a9dbfbc07,kitchen,act,1929-12-02,001-52-0853
Laura Estes,964820fe-b1d1-41bf-9322-1480e6225ea7,series,their,1915-03-03,738-84-5931
Jennifer Ford,7b7a6170-881f-485f-aced-a54cd2efdf42,film,where,2012-05-09,876-34-7388
Jill Bryant,049b9611-5faf-4f80-a920-3ebd9bd4fb89,customer,them,1953-03-10,547-56-2512
Debbie Ramsey,793c636d-7829-4492-ba77-a0d0de5169ba,between,those,1932-01-12,500-47-6651
Trevor Gonzales,221b60d1-e584-4a56-b2a2-2fbf982eb3ae,traditional,light,2014-06-20,761-47-9599
Matthew Martinez,6c93b053-3f23-4192-84ed-d090e8b80697,them,push,1996-10-26,133-86-6447
Jeffrey Oliver,b132aae8-1c22-4d8b-82ae-0d9b7e46a9bc,itself,if,1980-05-09,649-89-2958
Heather Martinez,cf311fbd-251f-44d5-87a3-b09c35c29655,identify,ever,1966-07-04,606-68-7913
Andrea Ward,c3c540e9-e60a-4d01-8b24-c11744d7bf85,pressure,listen,2002-04-14,669-27-3593
Caroline Richard,c8bef132-db21-4812-91b5-35ea74555aa1,right,after,1927-05-18,616-77-0452
Angela Smith,f753bd6a-14c3-440f-8998-33fac12d87de,energy,lot,1920-09-18,084-08-5085
George Miller,8fb410f6-ebd8-494e-a79f-447701957ccc,generation,use,1927-03-20,612-43-5271
Barbara Coleman,c1a60e69-7820-4949-8cd9-8b4148bd258d,even,down,1960-06-09,438-05-2517
Brittany Michael,2577ab60-a524-48d6-9432-8388e457b3d1,occur,everybody,1963-04-26,302-56-9156
Jessica Cruz,a97fc01f-ac18-4754-bc56-97f7db45b26a,truth,alone,1960-11-08,863-65-1986
Johnny Torres,f6c2c3b9-5990-4b50-b1a1-9f0990e1d9e9,shake,join,2020-05-18,201-24-3654
Eric Bryant,83d27289-a7a2-445f-91af-2a45ecc22947,doctor,dog,1953-12-13,285-39-7853
Matthew Smith MD,200108bf-792a-4a3a-9ab8-dbb4d9c2b578,carry,it,1926-03-24,237-30-8859
Sherry Allen,b668d97c-c747-4cb2-8fe0-d16e10c034b4,inside,anyone,1999-08-21,295-69-3825
Michelle Fisher,04a17319-b7da-4592-8843-64e9c1391803,week,of,1914-07-27,582-79-3223
Nicole Bird,e66eead0-9252-49b6-b321-81c98d706e07,time,future,1983-01-29,154-22-1028
Erin Powers,a7f4f8d5-925b-469e-adda-10ff8bc553f3,suddenly,that,1996-09-28,059-37-8375
Andrew Martin,b734967c-4d34-48a1-8944-3ffce5c5224d,ever,good,1939-06-16,301-10-0091
Daniel Davis,f2fdd586-ca52-45fe-bce8-eca3ff2702fc,federal,raise,1972-02-01,233-12-6670
Brandi Goodwin,32bf5bbc-89f7-47f4-bf89-5a7d95914037,explain,individual,1969-11-20,096-38-8286
Elizabeth Ellis,4e643185-0d49-439d-ba28-17f4576a2c63,study,writer,1973-03-09,316-41-2485
Debra Thornton,73c26434-fa1b-4b0f-afbe-12420eec5299,draw,staff,1950-07-03,352-84-3365
Tracey Patterson,f69454b0-47d7-44f3-8453-4134fea2a35b,article,day,1944-09-10,662-56-1017
David Gilbert,56920cb3-98eb-434b-bee6-6c7f40a2c1c1,example,special,1955-08-04,615-32-1993
Lucas Rodriguez,f16da4fb-6a15-449f-9e7a-4e7e566c88af,what,new,1922-11-02,554-30-7528
Michael Davis,b4e133e4-be7a-4da8-9eec-120067a9645f,huge,write,1962-03-30,184-96-5652
Cynthia Robertson,f633d73c-af4d-4112-931b-efc70c4b6023,tough,study,1990-07-15,528-02-0055
Brenda Odonnell,b97ca1f7-1b1d-4edc-b4e2-83a954d07db0,everything,last,2007-03-11,579-70-8946
Jennifer Moore,e1111797-cac0-4d1a-b184-31092be71bc8,positive,party,1998-02-11,838-44-1389
Katrina Evans,c089fd69-d032-4d52-8b95-a339eb25cf2a,your,determine,1949-09-25,557-13-1549
Vernon Green,ce614794-f0e2-42df-9f6c-9b062a1a923e,return,though,1986-10-03,107-76-0818
Erica Pierce,7f5d35ce-eaba-4807-91e1-6977ddc32b17,rate,prove,1978-08-01,680-66-7046
Joseph Rodriguez,6417152a-bbd8-4bbf-a12e-a80799222835,remember,east,1924-01-18,248-26-9288
Daniel Jones,54903b57-5f8b-439e-918e-f8cc18bbaa19,heart,election,1991-11-01,183-42-4174
Christopher Harris,94281091-406a-4246-b15f-43f6498d1f98,professional,with,2021-10-15,128-97-9333
Andrew Martin,6fe909e8-e539-4b5d-a822-35e2527684b9,who,as,1956-09-28,692-59-3037
Kevin Vang,30e22495-bee5-42c4-9c9a-da0025653081,bag,let,1979-12-21,424-86-7489
Andrew Weaver,d7328c2b-600d-4b29-99fd-7013ed220a77,cover,one,1954-07-30,568-47-0704
Michelle Gallagher,0912759e-3339-4ae1-901f-602b7bb7d237,Mr,economy,1995-02-02,627-84-0278
Stephen Simon,75ab3bf4-3e6c-4bce-9507-ffff083800f2,same,campaign,2000-07-17,544-30-9885
Jose Brewer,38a32467-9ecf-45fc-a892-9c26c8fbd7f0,do,station,2007-03-19,681-74-1352
Sandra Evans,0c106c1b-48bb-494f-add0-e3b11ce7fc4c,town,across,1956-10-02,832-68-3571
Brandon Smith,6fc8feb4-6044-4439-8d8f-f28fd550eb6f,see,large,1965-07-08,564-43-5779
Daniel Moore,491fee5e-1590-47ff-b66f-726f750e032f,up,consider,1981-01-06,889-23-9468
Darrell Hunt,50f26f91-4f46-4607-9007-ddd2ac6bf8fe,edge,establish,1982-11-28,266-94-7265
Bryan Mcintyre,807b9717-00f0-41e1-ae15-e243e8843a91,money,energy,1947-08-30,820-24-9718
Larry Martinez,2b11fff5-a65c-4821-9f78-c1e5741b146e,strong,model,1984-03-21,219-84-8742
Jimmy Howard,00c679d4-ba9f-400d-83bf-4ee3d44b1197,themselves,bank,1959-11-19,414-24-6041
Wanda Hopkins,9d2abe47-860c-490d-bda7-2f91ff4e5e8c,measure,teacher,1943-02-22,402-26-3363
Douglas Gentry,421e88fb-a564-4d05-923e-654e625e95d2,our,local,1974-09-30,348-79-5091
Anthony Perry,720dc56d-f472-427b-b327-632578ce287e,give,benefit,1998-11-06,450-97-1081
Laura Meyer,aa36cbb7-2ce3-42b4-b607-09f921106900,more,report,1959-06-18,079-55-0730
Ronald Warren,e1dc8309-807d-4551-aacf-1fd6283ec5d6,attack,high,1955-07-07,174-84-2620
Jason Collins,30535823-57c0-469f-8ee9-ca8b986602b1,leader,right,1975-03-17,073-12-8136
Gregory Bowen,ce7872a0-560c-40e7-8d07-9e6b0ee5fb16,establish,these,1954-02-22,337-70-1955
Michael Sullivan,a7b4bcfc-0894-47f4-91c9-4ebfac919517,floor,bank,1980-01-26,482-61-4466
Nicholas Keith,f8b09cdf-2306-444e-a08c-d416bd947f70,heavy,type,1908-06-17,760-65-5070
Donald Stephens,3cf2aabc-bf84-4042-a26b-1c335d579413,grow,once,2007-06-16,872-55-2684
Rachel Novak,9b14c7a8-a1f3-47d7-b633-edb7fea42ea2,cup,expect,1934-11-25,004-09-1666
Barbara Humphrey,a742a2d1-e5fc-49f6-9c63-71b55c5651bb,worry,treatment,1965-06-01,031-14-2208
Rhonda Johnson,b62303f6-2257-47cd-80c3-acd2bb6db7ab,direction,green,1964-10-19,845-21-1585
Sarah Miller,76caf595-8e78-40fa-ba6f-ca000891fdca,indicate,key,1909-07-31,788-24-0855
Richard Jennings,abc9284b-f398-4637-aff2-53fcf4aed713,movement,article,1978-04-11,667-54-5809
Christopher Pham,5a6e9485-0d2a-43c2-8f66-a2749b3a5e9a,dinner,sell,1920-09-07,414-05-7365
Bryan Miles,a439a1cd-0f34-4cf8-bef1-67d487950577,popular,answer,2016-02-14,409-40-4813
